CBSAFP,Year,AsOfDate,dockCt,docklessCt,scooterCt,Lat,Lon,Unnamed: 16
27540,2019,201912,0,0,0,38.296944,-86.9544439999999,0.0
27620,2015,201512,0,0,0,38.5767019999999,-92.173516,0.0
27620,2016,201612,0,0,0,38.5767019999999,-92.173516,0.0
27620,2017,201712,0,0,0,38.5767019999999,-92.173516,0.0
27620,2018,201812,0,0,1,38.5767019999999,-92.173516,0.0
27620,2019,201912,0,0,0,38.5767019999999,-92.173516,0.0
28140,2015,201512,30,0,0,39.099727,-94.578567,0.0
28140,2016,201612,33,0,0,39.099727,-94.578567,0.0
28140,2017,201712,42,0,0,39.099727,-94.578567,0.0
28140,2018,201812,41,0,2,39.099727,-94.578567,0.0
28140,2019,201912,41,0,1,39.099727,-94.578567,0.0
28580,2015,201512,1,0,0,24.559722,-81.7836109999999,0.0
28580,2016,201612,1,0,0,24.559722,-81.7836109999999,0.0
28580,2017,201712,3,0,0,24.559722,-81.7836109999999,0.0
28580,2018,201812,3,0,0,24.559722,-81.7836109999999,0.0
28580,2019,201912,3,0,0,24.559722,-81.7836109999999,0.0
28940,2015,201512,0,0,0,35.960638,-83.9207389999999,0.0
28940,2016,201612,0,0,0,35.960638,-83.9207389999999,0.0
28940,2017,201712,0,0,0,35.960638,-83.9207389999999,0.0
28940,2018,201812,0,1,0,35.960638,-83.9207389999999,0.0
28940,2019,201912,0,1,2,35.960638,-83.9207389999999,0.0
29460,2015,201512,7,0,0,28.039465,-81.949804,0.0
29460,2016,201612,7,0,0,28.039465,-81.949804,0.0
29460,2017,201712,7,0,0,28.039465,-81.949804,0.0
29460,2018,201812,0,0,0,28.039465,-81.949804,0.0
29460,2019,201912,0,0,0,28.039465,-81.949804,0.0
29620,2015,201512,0,0,0,42.7325349999999,-84.555535,0.0
29620,2016,201612,0,0,0,42.7325349999999,-84.555535,0.0
29620,2017,201712,0,0,0,42.7325349999999,-84.555535,0.0
29620,2018,201812,0,0,1,42.7325349999999,-84.555535,0.0
29620,2019,201912,0,0,1,42.7325349999999,-84.555535,0.0
29820,2015,201512,0,0,0,36.169941,-115.13983,0.0
29820,2016,201612,21,0,0,36.169941,-115.13983,0.0
29820,2017,201712,21,0,0,36.169941,-115.13983,0.0
29820,2018,201812,21,0,0,36.169941,-115.13983,0.0
29820,2019,201912,21,0,0,36.169941,-115.13983,0.0
30700,2015,201512,0,0,0,40.825763,-96.685198,0.0
30700,2016,201612,0,0,0,40.825763,-96.685198,0.0
30700,2017,201712,0,0,0,40.825763,-96.685198,0.0
30700,2018,201812,20,0,0,40.825763,-96.685198,0.0
30700,2019,201912,20,0,0,40.825763,-96.685198,0.0
30780,2015,201512,0,0,0,34.746481,-92.289595,0.0
30780,2016,201612,0,0,0,34.746481,-92.289595,0.0
30780,2017,201712,0,0,0,34.746481,-92.289595,0.0
30780,2018,201812,0,0,1,34.746481,-92.289595,0.0
30780,2019,201912,0,0,1,34.746481,-92.289595,0.0
31080,2015,1612096,80,0,0,272.5598229999994,-946.6400299999981,0.0
31080,2016,1612896,282,0,0,272.55982299999937,-946.6400299999981,0.0
31080,2017,1613696,312,2,1,272.55982299999937,-946.6400299999981,0.0
31080,2018,1614496,319,5,14,272.55982299999937,-946.6400299999981,0.0
31080,2019,1615296,319,4,11,272.5598229999994,-946.640029999998,0.0
31140,2015,201512,0,0,0,38.252665,-85.7584559999999,0.0
31140,2016,201612,0,0,0,38.252665,-85.7584559999999,0.0
31140,2017,201712,27,0,0,38.252665,-85.7584559999999,0.0
31140,2018,201812,37,0,2,38.252665,-85.7584559999999,0.0
31140,2019,201912,37,0,4,38.252665,-85.7584559999999,0.0
31180,2015,201512,0,0,0,33.577863,-101.855166999999,0.0
31180,2016,201612,0,0,0,33.577863,-101.855166999999,0.0
31180,2017,201712,0,0,0,33.577863,-101.855166999999,0.0
31180,2018,201812,0,0,1,33.577863,-101.855166999999,0.0
31180,2019,201912,0,0,1,33.577863,-101.855166999999,0.0
31540,2015,201512,39,0,0,43.0730519999999,-89.4012299999999,0.0
31540,2016,201612,40,0,0,43.0730519999999,-89.4012299999999,0.0
31540,2017,201712,44,0,0,43.0730519999999,-89.4012299999999,0.0
31540,2018,201812,44,0,0,43.0730519999999,-89.4012299999999,0.0
31540,2019,201912,44,0,0,43.0730519999999,-89.4012299999999,0.0
31700,2015,403024,0,0,0,85.75750500000001,-142.965578,0.0
31700,2016,403224,0,0,0,85.75750500000001,-142.965578,0.0
31700,2017,403424,7,0,0,85.75750500000001,-142.965578,0.0
31700,2018,403624,8,1,0,85.75750500000001,-142.965578,0.0
31700,2019,403824,8,1,0,85.75750500000001,-142.965578,0.0
32580,2015,201512,8,0,0,26.2034069999999,-98.230012,0.0
32580,2016,201612,8,0,0,26.2034069999999,-98.230012,0.0
32580,2017,201712,8,0,0,26.2034069999999,-98.230012,0.0
32580,2018,201812,8,0,0,26.2034069999999,-98.230012,0.0
32580,2019,201912,8,0,0,26.2034069999999,-98.230012,0.0
32780,2015,201512,6,0,0,42.326515,-122.875595,0.0
32780,2016,201612,6,0,0,42.326515,-122.875595,0.0
32780,2017,201712,10,0,0,42.326515,-122.875595,0.0
32780,2018,201812,11,0,0,42.326515,-122.875595,0.0
32780,2019,201912,11,0,0,42.326515,-122.875595,0.0
32820,2015,201512,0,0,0,35.149534,-90.04898,0.0
32820,2016,201612,0,0,0,35.149534,-90.04898,0.0
32820,2017,201712,0,0,0,35.149534,-90.04898,0.0
32820,2018,201812,73,0,2,35.149534,-90.04898,0.0
32820,2019,201912,73,0,2,35.149534,-90.04898,0.0
33100,2015,2619656,169,0,0,336.8298249999992,-1042.7502789999996,0.0
33100,2016,2620956,192,0,0,336.8298249999991,-1042.7502789999996,0.0
33100,2017,2622256,199,8,0,336.8298249999992,-1042.7502789999994,0.0
33100,2018,2623556,196,7,11,336.8298249999992,-1042.7502789999994,0.0
33100,2019,2624856,196,7,9,336.8298249999992,-1042.7502789999994,0.0
33340,2015,201512,11,0,0,43.0389029999999,-87.906474,0.0
33340,2016,201612,58,0,0,43.0389029999999,-87.906474,0.0
33340,2017,201712,86,0,0,43.0389029999999,-87.906474,0.0
33340,2018,201812,86,0,0,43.0389029999999,-87.906474,0.0
33340,2019,201912,86,0,0,43.0389029999999,-87.906474,0.0
33460,2015,806048,170,0,0,179.5544759999999,-372.5549179999997,0.0
33460,2016,806448,201,0,0,179.5544759999999,-372.5549179999997,0.0
33460,2017,806848,202,0,0,179.5544759999999,-372.5549179999997,0.0
33460,2018,807248,171,0,2,179.5544759999999,-372.5549179999997,0.0
33460,2019,807648,171,0,5,179.5544759999999,-372.5549179999997,0.0
34980,2015,201512,31,0,0,36.1626639999999,-86.781602,0.0
34980,2016,201612,36,0,0,36.1626639999999,-86.781602,0.0
34980,2017,201712,36,1,0,36.1626639999999,-86.781602,0.0
34980,2018,201812,35,0,3,36.1626639999999,-86.781602,0.0
34980,2019,201912,35,0,3,36.1626639999999,-86.781602,0.0
35300,2015,201512,0,0,0,41.30615,-72.926595,0.0
