,CBSA,MNAME_x,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,_merge,MNAME_y,Proposed TNC Groups,TNC_TRIPS_PER_PERSON,TRIP_SHARE_2017
104,16700,"Charleston-North Charleston, SC Metro Area",2015,744526,7/1/14,2014,2015,1,both,"Charleston-North Charleston, SC Metro Area",22.0,2.3,0.198
105,16700,"Charleston-North Charleston, SC Metro Area",2016,761155,7/1/14,2014,2015,1,both,"Charleston-North Charleston, SC Metro Area",22.0,2.3,0.198
106,16700,"Charleston-North Charleston, SC Metro Area",2017,775831,7/1/14,2014,2015,1,both,"Charleston-North Charleston, SC Metro Area",22.0,2.3,0.198
107,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2014,2380314,9/1/13,2013,2014,1,both,"Charlotte-Concord-Gastonia, NC-SC Metro Area",21.0,4.4,0.198
108,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2015,2426363,9/1/13,2013,2014,1,both,"Charlotte-Concord-Gastonia, NC-SC Metro Area",21.0,4.4,0.198
109,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2016,2474314,9/1/13,2013,2014,1,both,"Charlotte-Concord-Gastonia, NC-SC Metro Area",21.0,4.4,0.198
110,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2017,2525305,9/1/13,2013,2014,1,both,"Charlotte-Concord-Gastonia, NC-SC Metro Area",21.0,4.4,0.198
111,16820,"Charlottesville, VA Metro Area",2015,230602,9/1/14,2014,2015,1,both,"Charlottesville, VA Metro Area",22.0,2.3,0.198
112,16820,"Charlottesville, VA Metro Area",2016,229467,9/1/14,2014,2015,1,both,"Charlottesville, VA Metro Area",22.0,2.3,0.198
113,16820,"Charlottesville, VA Metro Area",2017,232182,9/1/14,2014,2015,1,both,"Charlottesville, VA Metro Area",22.0,2.3,0.198
114,16860,"Chattanooga, TN-GA Metro Area",2015,546351,11/1/14,2014,2015,1,both,"Chattanooga, TN-GA Metro Area",22.0,2.3,0.198
115,16860,"Chattanooga, TN-GA Metro Area",2016,551200,11/1/14,2014,2015,1,both,"Chattanooga, TN-GA Metro Area",22.0,2.3,0.198
116,16860,"Chattanooga, TN-GA Metro Area",2017,554876,11/1/14,2014,2015,1,both,"Chattanooga, TN-GA Metro Area",22.0,2.3,0.198
117,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2012,9522446,9/1/11,2011,2012,1,left_only,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4.0,11.3,0.58
118,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2013,9537040,9/1/11,2011,2012,1,both,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4.0,11.3,0.58
119,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2014,9553810,9/1/11,2011,2012,1,both,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4.0,11.3,0.58
120,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2015,9550108,9/1/11,2011,2012,1,both,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4.0,11.3,0.58
121,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2016,9512968,9/1/11,2011,2012,1,both,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4.0,11.3,0.58
122,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2017,9533895,9/1/11,2011,2012,1,both,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4.0,11.3,0.58
123,17020,"Chico, CA Metro Area",2016,226864,10/1/15,2015,2016,1,both,"Chico, CA Metro Area",22.0,2.3,0.198
124,17020,"Chico, CA Metro Area",2017,229294,10/1/15,2015,2016,1,both,"Chico, CA Metro Area",22.0,2.3,0.198
125,17140,"Cincinnati, OH-KY-IN Metro Area",2015,2159329,3/1/14,2014,2015,1,both,"Cincinnati, OH-KY-IN Metro Area",21.0,4.4,0.198
126,17140,"Cincinnati, OH-KY-IN Metro Area",2016,2161441,3/1/14,2014,2015,1,both,"Cincinnati, OH-KY-IN Metro Area",21.0,4.4,0.198
127,17140,"Cincinnati, OH-KY-IN Metro Area",2017,2180746,3/1/14,2014,2015,1,both,"Cincinnati, OH-KY-IN Metro Area",21.0,4.4,0.198
128,17300,"Clarksville, TN-KY Metro Area",2017,285602,3/1/16,2016,2017,1,both,"Clarksville, TN-KY Metro Area",22.0,2.3,0.198
