,CBSA,MNAME,Year,Tot_Pop,TNC_CLUSTER,TOT_POP_CLUSTER,TOTAL_YEARLY_POPULATION,POP_SHARE,TNC_TRIPS_PER_CAPITA,TNC_TRIPS_SCALED,TOTAL_TNC_TRIPS_PER_CLUSTER,_merge
156,32820,"Memphis, TN-MS-AR Metro Area",2016,1346437.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
157,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",2016,1572482.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
158,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2016,1865535.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
159,35300,"New Haven-Milford, CT Metro Area",2016,856875.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
160,35380,"New Orleans-Metairie-Kenner, LA Metro Area",2016,1268883.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
161,35840,"North Port-Bradenton-Sarasota, FL Metro Area",2016,788457.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
162,36420,"Oklahoma City, OK Metro Area",2016,1373211.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
163,36500,"Olympia, WA Metro Area",2016,275222.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
164,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2016,2441257.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
165,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",2016,849738.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
166,38860,"Portland-South Portland-Biddeford, ME Metro Area",2016,529657.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
167,39300,"Providence-New Bedford-Fall River, RI-MA Metro Area",2016,1614750.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
168,39580,"Raleigh-Cary, NC Metro Area",2016,1302946.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
169,39900,"Reno-Sparks, NV Metro Area",2016,457387.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
170,40060,"Richmond, VA Metro Area",2016,1282066.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
171,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",2016,4527837.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
172,40900,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",2016,2296418.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
173,41500,"Salinas, CA Metro Area",2016,435232.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
174,41620,"Salt Lake City, UT Metro Area",2016,1186187.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
175,41700,"San Antonio-New Braunfels, TX Metro Area",2016,2429609.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
176,42060,"Santa Barbara-Santa Maria-Goleta, CA Metro Area",2016,,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
177,42100,"Santa Cruz-Watsonville, CA Metro Area",2016,274673.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
178,44060,"Spokane, WA Metro Area",2016,556264.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
179,44140,"Springfield, MA Metro Area",2016,630283.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
180,41180,"St. Louis, MO-IL Metro Area",2016,2807954.0,21,81851382.0,240308609,0.034537706,4.205089803,4.132032164,344.1924118,both
