CLUSTER_APTA,RAIL_FLAG,Year,CLUSTER_GT,CLUSTER_APTA_HML,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT,POP_EMP,GasPrice,PCT_HH_NO_VEH,TSD_POP_PCT,VRM_ADJ_log_FAC,FARE_per_UPT_log_FAC,POP_EMP_log_FAC,GasPrice_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,Total_FAC,VRM_ADJ_log_FAC_scaled,FARE_per_UPT_log_FAC_scaled,POP_EMP_log_FAC_scaled,GasPrice_log_FAC_scaled,PCT_HH_NO_VEH_FAC_scaled,TSD_POP_PCT_FAC_scaled,Total_FAC_scaled
24,0,2014,50,50,233394398.51200008,235419099.587,2024701.074999879,235527989.762996,5509405.428975368,9855946.491500132,1.0275689349874289,2712733.155881723,3.395651273745809,6.743394547267591,0.1198208902725392,2237188.974842938,1540695.6908797408,4235219.594989084,-2510594.1178337117,171365.59511667883,23048.132517501,5696923.870512072,2358317.7848261814,663290.7188821903,4959799.280268487,-2969859.28932516,475230.22915719915,22626.705166527037,5531623.138683926
24,0,2015,50,50,235419099.587,229590885.25799996,-5828214.328999995,220490324.71870014,-15037665.044295803,10073331.472317314,1.0369383861937516,2759796.87160758,2.4257700028459577,6.629561689605892,0.1197227071014065,2247029.1305106203,-809064.3692492472,4472902.436214664,-19843157.202007137,-279957.2552415315,-22428.134092100507,-14234675.393864715,3058985.140260718,-687051.7249584056,5060149.192414188,-22094895.488945913,-350603.985076763,-24248.17798965921,-15066374.561651248
24,0,2016,50,50,229590885.25799996,218131090.84700003,-11459794.410999933,218361098.4747202,-2129226.24397993,10276693.483748065,1.0586982656352004,2805168.3583538444,2.1964077706035967,6.328075260169613,0.11970205189124691,1761713.4311357718,-1883072.999412711,4467321.683423525,-5501354.573144924,-800394.0408820465,-12914.063935394912,-1968700.5628155945,1663201.27658291,-1960401.201785099,4196170.900889241,-5245570.324987196,-769891.9109641145,-12734.983715826387,-2141892.1941423607
24,0,2017,50,50,218131090.84700003,208875003.963,-9256086.884000048,231211397.50218877,12850299.027468575,10226764.121461174,1.0524831302680924,2839646.6383001264,2.455909360032331,6.093757819649445,0.11956308940384255,797524.6635904355,2098772.426754889,4611102.778591226,6080526.5815665545,-633864.5276452361,-11307.059130091027,12942754.86372775,884406.7633494919,3773034.6581794387,3684205.103535838,5203932.063099779,-684433.2458265976,-10846.314869363447,12842187.563823244
24,0,2018,50,50,208875003.963,201863787.484,-7011216.478999962,246988248.81054035,15776851.308351573,10195591.712006258,1.0348944448103796,2865216.7624503276,2.7411894548017526,5.851405825829318,0.12017514526060886,707257.18837107,3951199.3566707186,3851676.5995691125,5888845.327467568,-626194.3790805814,-10204.514562118797,13762579.578435568,822729.2218311044,4697086.861430431,4348357.0621866,6618843.822930601,-697529.8296520796,-12635.830374860716,15761474.312002705
24,1,2002,5,4,0.0,171976.99999999994,0.0,506460.07829162694,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1,2003,5,4,171976.99999999994,549247.0,377270.00000000006,506232.18364151707,-227.89465010989807,194905.49202509638,2.6224671233377665,2524637.810908195,1.5300000000000002,7.199296882722689,0.1393512028933468,61044.83006935997,-45516.92517543714,5620.10883855271,5063.933217787902,-500.525194651138,-448.51298710017875,25262.908768512705,16375.624391374426,-29755.10930605977,7442.622881969488,6430.848140560602,-240.9013296157956,-480.9794283394497,-1166.8518326116755
24,1,2004,5,4,549247.0,505923.0,-43324.000000000015,518930.9462005986,12698.762559081573,115106.8486236611,1.5080234882388235,3400571.6153204134,1.85,7.264832434223583,0.17881625653292574,2061.581288414729,-35438.07367425383,22371.058217481248,23542.662800306105,-2643.242287311287,-1568.759013483012,8325.227331154527,12846.08034351758,-157162.20470602356,84906.28094209875,89171.877013277,-10926.924374049959,-6136.346659740231,-12281.470351758098
24,1,2005,5,4,505923.0,620798.0,114875.00000000003,636884.1534422128,117953.20724161429,115316.39511743876,1.2140408384460124,3469177.415621548,2.3,6.886625395564146,0.17035413738853805,-1852.8814461448442,60659.04296803815,15022.533556538787,26824.213805526208,-2200.417415829817,-1290.4707331133047,97162.0207350137,-1997.7205180176866,76415.36537898835,17935.833294006123,28967.64851126651,-2049.8371003632856,-1318.0823242644187,116427.94464205578
24,1,2006,7,6,620798.0,689659.3580000002,45524.00000000022,507399.63825924834,-207794.0311685058,117922.59654992443,9.742489916923029,3593462.9398110495,2.59,6.3692057158689295,0.16219416437368792,1584.046816041921,-133948.03851959057,25300.000737466085,18702.890946792944,-3751.411362265632,-1721.9040522094224,-93834.41543376475,4582.800741950448,-262535.58452189947,32596.728410040057,23429.590744192654,-3838.9275824872266,-2028.6389603020818,-210460.60570687678
