COUNTY,Year,LABOR_FORCE,EMPLOYED,UNEMPLOYED
"Pratt County, KS",2003,5464,5282,182
"Rawlins County, KS",2003,1407,1356,51
"Reno County, KS",2003,32493,30814,1679
"Republic County, KS",2003,2911,2773,138
"Rice County, KS",2003,5254,5031,223
"Riley County, KS",2003,32007,30879,1128
"Rooks County, KS",2003,2732,2582,150
"Rush County, KS",2003,1686,1614,72
"Russell County, KS",2003,3418,3273,145
"Saline County, KS",2003,29927,28561,1366
"Scott County, KS",2003,2903,2819,84
"Sedgwick County, KS",2003,240350,224059,16291
"Seward County, KS",2003,10304,9915,389
"Shawnee County, KS",2003,93520,88640,4880
"Sheridan County, KS",2003,1536,1494,42
"Sherman County, KS",2003,3791,3673,118
"Smith County, KS",2003,2254,2175,79
"Stafford County, KS",2003,2248,2159,89
"Stanton County, KS",2003,1179,1145,34
"Stevens County, KS",2003,2320,2240,80
"Sumner County, KS",2003,12434,11478,956
"Thomas County, KS",2003,4315,4185,130
"Trego County, KS",2003,1717,1659,58
"Wabaunsee County, KS",2003,3757,3601,156
"Wallace County, KS",2003,964,938,26
"Washington County, KS",2003,3428,3299,129
"Wichita County, KS",2003,1304,1259,45
"Wilson County, KS",2003,5015,4750,265
"Woodson County, KS",2003,1722,1611,111
"Wyandotte County, KS",2003,74937,66813,8124
"Adair County, KY",2003,8772,8258,514
"Allen County, KY",2003,8525,7945,580
"Anderson County, KY",2003,10278,9803,475
"Ballard County, KY",2003,4131,3809,322
"Barren County, KY",2003,19404,18397,1007
"Bath County, KY",2003,5076,4678,398
"Bell County, KY",2003,9459,8642,817
"Boone County, KY",2003,53738,51136,2602
"Bourbon County, KY",2003,9719,9161,558
"Boyd County, KY",2003,22710,21133,1577
"Boyle County, KY",2003,13357,12225,1132
"Bracken County, KY",2003,4246,3987,259
"Breathitt County, KY",2003,5474,5003,471
"Breckinridge County, KY",2003,8980,8359,621
"Bullitt County, KY",2003,33695,31806,1889
"Butler County, KY",2003,6190,5593,597
"Caldwell County, KY",2003,6372,5994,378
"Calloway County, KY",2003,16631,15369,1262
"Campbell County, KY",2003,45125,42883,2242
"Carlisle County, KY",2003,2429,2236,193
"Carroll County, KY",2003,5294,4936,358
"Carter County, KY",2003,13058,11901,1157
"Casey County, KY",2003,7308,6817,491
"Christian County, KY",2003,26182,24445,1737
"Clark County, KY",2003,16657,15714,943
"Clay County, KY",2003,7133,6418,715
"Clinton County, KY",2003,4756,4318,438
"Crittenden County, KY",2003,4277,3984,293
"Cumberland County, KY",2003,3205,2971,234
"Daviess County, KY",2003,46123,43355,2768
"Edmonson County, KY",2003,5129,4768,361
"Elliott County, KY",2003,2729,2504,225
"Estill County, KY",2003,6035,5589,446
"Fayette County, KY",2003,145310,138669,6641
"Fleming County, KY",2003,6812,6412,400
"Floyd County, KY",2003,14470,13297,1173
"Franklin County, KY",2003,24919,23783,1136
"Fulton County, KY",2003,3105,2760,345
"Gallatin County, KY",2003,3908,3686,222
"Garrard County, KY",2003,7936,7482,454
"Grant County, KY",2003,12122,11402,720
"Graves County, KY",2003,16730,15496,1234
"Grayson County, KY",2003,11755,10677,1078
"Green County, KY",2003,5639,5282,357
"Greenup County, KY",2003,16775,15624,1151
"Hancock County, KY",2003,4102,3816,286
"Hardin County, KY",2003,44952,42458,2494
"Harlan County, KY",2003,10435,9421,1014
"Harrison County, KY",2003,9167,8641,526
"Hart County, KY",2003,7883,7394,489
"Henderson County, KY",2003,22818,21569,1249
"Henry County, KY",2003,7615,7214,401
"Hickman County, KY",2003,2239,2042,197
"Hopkins County, KY",2003,21659,20234,1425
"Jackson County, KY",2003,4878,4505,373
"Jefferson County, KY",2003,347618,326521,21097
"Jessamine County, KY",2003,20891,19921,970
"Johnson County, KY",2003,9705,9049,656
"Kenton County, KY",2003,81539,77636,3903
"Knott County, KY",2003,6006,5617,389
"Knox County, KY",2003,11610,10728,882
"Larue County, KY",2003,6579,6243,336
"Laurel County, KY",2003,24912,23256,1656
"Lawrence County, KY",2003,5738,5235,503
"Lee County, KY",2003,2644,2408,236
"Leslie County, KY",2003,3724,3366,358
"Letcher County, KY",2003,8991,8084,907
"Lewis County, KY",2003,5597,5161,436
"Lincoln County, KY",2003,10996,10143,853
"Livingston County, KY",2003,4793,4464,329
"Logan County, KY",2003,12574,11789,785
"Lyon County, KY",2003,3205,2937,268
"McCracken County, KY",2003,30768,28817,1951
"McCreary County, KY",2003,5868,5303,565
"McLean County, KY",2003,4649,4299,350
"Madison County, KY",2003,39490,37433,2057
"Magoffin County, KY",2003,4555,4018,537
"Marion County, KY",2003,9373,8846,527
"Marshall County, KY",2003,14432,13346,1086
"Martin County, KY",2003,3917,3596,321
"Mason County, KY",2003,8770,8258,512
"Meade County, KY",2003,11590,10863,727
"Menifee County, KY",2003,2667,2423,244
"Mercer County, KY",2003,10460,9814,646
"Metcalfe County, KY",2003,4520,4278,242
"Monroe County, KY",2003,5284,4907,377
"Montgomery County, KY",2003,11678,10920,758
"Morgan County, KY",2003,5175,4682,493
"Muhlenberg County, KY",2003,13179,12121,1058
"Nelson County, KY",2003,19603,18416,1187
"Nicholas County, KY",2003,3206,2993,213
"Ohio County, KY",2003,11065,10230,835
"Oldham County, KY",2003,24449,23373,1076
"Owen County, KY",2003,5105,4853,252
"Owsley County, KY",2003,1583,1448,135
"Pendleton County, KY",2003,7342,6889,453
"Perry County, KY",2003,10555,9617,938
"Pike County, KY",2003,24225,22327,1898
"Powell County, KY",2003,5669,5158,511
"Pulaski County, KY",2003,26428,24628,1800
"Robertson County, KY",2003,1144,1077,67
"Rockcastle County, KY",2003,7173,6773,400
"Rowan County, KY",2003,12086,11440,646
"Russell County, KY",2003,7804,7226,578
"Scott County, KY",2003,19375,18335,1040
"Shelby County, KY",2003,18705,17744,961
"Simpson County, KY",2003,8590,8110,480
"Spencer County, KY",2003,7352,7018,334
"Taylor County, KY",2003,12125,11431,694
"Todd County, KY",2003,5941,5678,263
"Trigg County, KY",2003,6079,5721,358
"Trimble County, KY",2003,4166,3933,233
"Union County, KY",2003,7549,7080,469
"Warren County, KY",2003,51487,48690,2797
"Washington County, KY",2003,5433,5123,310
"Wayne County, KY",2003,8873,8283,590
"Webster County, KY",2003,6682,6241,441
"Whitley County, KY",2003,13991,12965,1026
"Wolfe County, KY",2003,2367,2139,228
"Woodford County, KY",2003,12980,12461,519
"Acadia Parish, LA",2003,23938,22307,1631
"Allen Parish, LA",2003,8979,8195,784
"Ascension Parish, LA",2003,40892,38109,2783
"Assumption Parish, LA",2003,10597,9881,716
"Avoyelles Parish, LA",2003,15788,14432,1356
"Beauregard Parish, LA",2003,14215,13173,1042
"Bienville Parish, LA",2003,6001,5471,530
"Bossier Parish, LA",2003,47314,44298,3016
"Caddo Parish, LA",2003,111245,103290,7955
"Calcasieu Parish, LA",2003,85859,80333,5526
"Caldwell Parish, LA",2003,4399,3965,434
"Cameron Parish, LA",2003,4325,4086,239
"Catahoula Parish, LA",2003,4123,3721,402
"Claiborne Parish, LA",2003,6790,6276,514
"Concordia Parish, LA",2003,7278,6444,834
"De Soto Parish, LA",2003,10744,9820,924
"East Baton Rouge Parish, LA",2003,200693,188806,11887
"East Carroll Parish, LA",2003,3109,2697,412
"East Feliciana Parish, LA",2003,7963,7366,597
"Evangeline Parish, LA",2003,11828,10869,959
"Franklin Parish, LA",2003,8012,7217,795
"Grant Parish, LA",2003,7999,7368,631
"Iberia Parish, LA",2003,30739,28754,1985
"Iberville Parish, LA",2003,12215,11087,1128
"Jackson Parish, LA",2003,6531,5964,567
"Jefferson Parish, LA",2003,222833,211306,11527
"Jefferson Davis Parish, LA",2003,13498,12708,790
"Lafayette Parish, LA",2003,97675,92904,4771
"Lafourche Parish, LA",2003,43556,41434,2122
"LaSalle Parish, LA",2003,5864,5345,519
"Lincoln Parish, LA",2003,18241,16975,1266
"Livingston Parish, LA",2003,48057,44765,3292
"Madison Parish, LA",2003,4969,4424,545
"Morehouse Parish, LA",2003,12635,11354,1281
"Natchitoches Parish, LA",2003,16643,15379,1264
"Orleans Parish, LA",2003,197740,185357,12383
"Ouachita Parish, LA",2003,71690,67389,4301
"Plaquemines Parish, LA",2003,11092,10428,664
"Pointe Coupee Parish, LA",2003,9388,8670,718
"Rapides Parish, LA",2003,55951,52323,3628
"Red River Parish, LA",2003,3648,3297,351
"Richland Parish, LA",2003,8720,7957,763
"Sabine Parish, LA",2003,9348,8657,691
"St. Bernard Parish, LA",2003,30655,28767,1888
"St. Charles Parish, LA",2003,23553,22225,1328
"St. Helena Parish, LA",2003,3875,3605,270
"St. James Parish, LA",2003,8807,7927,880
"St. John the Baptist Parish, LA",2003,20064,18662,1402
"St. Landry Parish, LA",2003,33588,31023,2565
"St. Martin Parish, LA",2003,21536,20228,1308
"St. Mary Parish, LA",2003,22167,20509,1658
"St. Tammany Parish, LA",2003,100593,95728,4865
"Tangipahoa Parish, LA",2003,46732,43371,3361
"Tensas Parish, LA",2003,2403,2181,222
"Terrebonne Parish, LA",2003,48476,46055,2421
"Union Parish, LA",2003,10535,9756,779
"Vermilion Parish, LA",2003,23024,21478,1546
"Vernon Parish, LA",2003,18600,17373,1227
"Washington Parish, LA",2003,16550,15244,1306
"Webster Parish, LA",2003,18384,16834,1550
"West Baton Rouge Parish, LA",2003,10007,9296,711
"West Carroll Parish, LA",2003,4746,4104,642
"West Feliciana Parish, LA",2003,4701,4334,367
"Winn Parish, LA",2003,6205,5674,531
"Androscoggin County, ME",2003,56145,53348,2797
"Aroostook County, ME",2003,34421,32324,2097
"Cumberland County, ME",2003,151456,146156,5300
"Franklin County, ME",2003,14276,13440,836
"Hancock County, ME",2003,29246,27783,1463
"Kennebec County, ME",2003,60881,57797,3084
"Knox County, ME",2003,21230,20336,894
"Lincoln County, ME",2003,17788,17045,743
"Oxford County, ME",2003,27643,26037,1606
"Penobscot County, ME",2003,76852,72290,4562
"Piscataquis County, ME",2003,7461,6875,586
"Sagadahoc County, ME",2003,18282,17570,712
"Somerset County, ME",2003,24586,22681,1905
"Waldo County, ME",2003,19698,18600,1098
"Washington County, ME",2003,15364,14035,1329
"York County, ME",2003,108219,103259,4960
"Allegany County, MD",2003,34654,32589,2065
"Anne Arundel County, MD",2003,271014,260711,10303
"Baltimore County, MD",2003,413908,394519,19389
"Calvert County, MD",2003,44406,42865,1541
"Caroline County, MD",2003,15611,14808,803
"Carroll County, MD",2003,89032,85819,3213
"Cecil County, MD",2003,47811,45366,2445
"Charles County, MD",2003,69873,67475,2398
"Dorchester County, MD",2003,16322,15204,1118
"Frederick County, MD",2003,116690,112660,4030
"Garrett County, MD",2003,15569,14759,810
"Harford County, MD",2003,125175,119790,5385
"Howard County, MD",2003,150740,145719,5021
"Kent County, MD",2003,10256,9750,506
"Montgomery County, MD",2003,498402,481984,16418
"Prince George's County, MD",2003,441104,420528,20576
"Queen Anne's County, MD",2003,24229,23313,916
"St. Mary's County, MD",2003,48588,46911,1677
"Somerset County, MD",2003,10983,10265,718
"Talbot County, MD",2003,18588,17788,800
"Washington County, MD",2003,67267,63960,3307
"Wicomico County, MD",2003,48567,46248,2319
"Worcester County, MD",2003,27803,25995,1808
"Baltimore city, MD",2003,275629,255498,20131
"Barnstable County, MA",2003,122422,116079,6343
"Berkshire County, MA",2003,73000,69344,3656
"Bristol County, MA",2003,287664,268965,18699
"Dukes County, MA",2003,11132,10668,464
"Essex County, MA",2003,380797,356823,23974
"Franklin County, MA",2003,40280,38471,1809
"Hampden County, MA",2003,225822,211254,14568
"Hampshire County, MA",2003,88172,84495,3677
"Middlesex County, MA",2003,821249,778252,42997
"Nantucket County, MA",2003,7732,7540,192
"Norfolk County, MA",2003,358047,339996,18051
"Plymouth County, MA",2003,257470,243296,14174
"Suffolk County, MA",2003,345791,323479,22312
"Worcester County, MA",2003,402837,378322,24515
"Alcona County, MI",2003,4187,3683,504
"Alger County, MI",2003,4419,4071,348
"Allegan County, MI",2003,52965,49458,3507
"Alpena County, MI",2003,15174,13780,1394
"Antrim County, MI",2003,11649,10652,997
"Arenac County, MI",2003,7649,6898,751
"Baraga County, MI",2003,3885,3498,387
"Barry County, MI",2003,29633,27849,1784
"Bay County, MI",2003,55391,51191,4200
"Benzie County, MI",2003,8742,8044,698
"Berrien County, MI",2003,78117,72352,5765
"Branch County, MI",2003,22925,21340,1585
"Calhoun County, MI",2003,71176,66083,5093
"Cass County, MI",2003,25918,24594,1324
"Charlevoix County, MI",2003,13745,12618,1127
"Cheboygan County, MI",2003,12715,11422,1293
"Chippewa County, MI",2003,17251,15721,1530
"Clare County, MI",2003,12962,11761,1201
"Clinton County, MI",2003,36222,34505,1717
"Crawford County, MI",2003,6659,6145,514
"Delta County, MI",2003,19963,18280,1683
"Dickinson County, MI",2003,14107,13146,961
"Eaton County, MI",2003,57844,55014,2830
"Emmet County, MI",2003,19005,17539,1466
"Genesee County, MI",2003,208776,191377,17399
"Gladwin County, MI",2003,11141,10081,1060
"Gogebic County, MI",2003,7854,7184,670
"Grand Traverse County, MI",2003,46486,43580,2906
"Gratiot County, MI",2003,19602,18186,1416
"Hillsdale County, MI",2003,22879,21127,1752
"Houghton County, MI",2003,17013,15811,1202
"Huron County, MI",2003,17124,15499,1625
"Ingham County, MI",2003,151665,143052,8613
"Ionia County, MI",2003,29418,27317,2101
"Iosco County, MI",2003,10564,9480,1084
"Iron County, MI",2003,5816,5383,433
"Isabella County, MI",2003,34960,33152,1808
"Jackson County, MI",2003,77256,71054,6202
"Kalamazoo County, MI",2003,129785,122658,7127
"Kalkaska County, MI",2003,8642,7932,710
"Kent County, MI",2003,312867,289940,22927
"Keweenaw County, MI",2003,1048,939,109
"Lake County, MI",2003,4488,4037,451
"Lapeer County, MI",2003,45545,41827,3718
"Leelanau County, MI",2003,11313,10672,641
"Lenawee County, MI",2003,50072,46417,3655
"Livingston County, MI",2003,92225,87545,4680
"Luce County, MI",2003,2884,2660,224
"Mackinac County, MI",2003,6534,5912,622
"Macomb County, MI",2003,425040,396080,28960
"Manistee County, MI",2003,11846,10798,1048
"Marquette County, MI",2003,34032,31774,2258
"Mason County, MI",2003,15273,13559,1714
"Mecosta County, MI",2003,19750,18403,1347
"Menominee County, MI",2003,13269,12445,824
"Midland County, MI",2003,41210,38581,2629
"Missaukee County, MI",2003,6617,6088,529
"Monroe County, MI",2003,76923,72219,4704
"Montcalm County, MI",2003,29232,26889,2343
"Montmorency County, MI",2003,4276,3768,508
"Muskegon County, MI",2003,87933,80001,7932
"Newaygo County, MI",2003,22719,20715,2004
"Oakland County, MI",2003,644959,608748,36211
"Oceana County, MI",2003,13485,12207,1278
"Ogemaw County, MI",2003,9639,8746,893
"Ontonagon County, MI",2003,3503,3225,278
"Osceola County, MI",2003,10814,9938,876
"Oscoda County, MI",2003,3785,3350,435
"Otsego County, MI",2003,12263,11250,1013
"Ottawa County, MI",2003,131705,123836,7869
"Presque Isle County, MI",2003,6524,5786,738
"Roscommon County, MI",2003,10651,9726,925
"Saginaw County, MI",2003,99280,90388,8892
"St. Clair County, MI",2003,86110,78823,7287
"St. Joseph County, MI",2003,30474,28255,2219
"Sanilac County, MI",2003,21530,19452,2078
"Schoolcraft County, MI",2003,3901,3472,429
"Shiawassee County, MI",2003,35710,33042,2668
"Tuscola County, MI",2003,29151,26517,2634
"Van Buren County, MI",2003,39364,36571,2793
"Washtenaw County, MI",2003,184030,176442,7588
"Wayne County, MI",2003,920061,840332,79729
"Wexford County, MI",2003,14542,13212,1330
"Aitkin County, MN",2003,7540,7010,530
"Anoka County, MN",2003,185945,177029,8916
"Becker County, MN",2003,16451,15461,990
"Beltrami County, MN",2003,21267,20106,1161
"Benton County, MN",2003,21817,20640,1177
"Big Stone County, MN",2003,2833,2700,133
"Blue Earth County, MN",2003,35160,33775,1385
"Brown County, MN",2003,15232,14402,830
"Carlton County, MN",2003,16583,15529,1054
"Carver County, MN",2003,45259,43306,1953
"Cass County, MN",2003,14140,13147,993
"Chippewa County, MN",2003,7218,6845,373
"Chisago County, MN",2003,25897,24390,1507
"Clay County, MN",2003,29468,28399,1069
"Clearwater County, MN",2003,4028,3575,453
"Cook County, MN",2003,3156,3002,154
"Cottonwood County, MN",2003,6684,6375,309
"Crow Wing County, MN",2003,31442,29634,1808
"Dakota County, MN",2003,223604,214057,9547
"Dodge County, MN",2003,10861,10384,477
"Douglas County, MN",2003,19861,19095,766
"Faribault County, MN",2003,8572,8127,445
"Fillmore County, MN",2003,11740,11154,586
"Freeborn County, MN",2003,16866,15962,904
"Goodhue County, MN",2003,25618,24392,1226
"Grant County, MN",2003,3225,3024,201
"Hennepin County, MN",2003,660470,629699,30771
"Houston County, MN",2003,11149,10554,595
"Hubbard County, MN",2003,9718,9139,579
"Isanti County, MN",2003,20027,18882,1145
"Itasca County, MN",2003,22454,20775,1679
"Jackson County, MN",2003,6505,6235,270
"Kanabec County, MN",2003,7900,7257,643
"Kandiyohi County, MN",2003,23557,22515,1042
"Kittson County, MN",2003,2537,2347,190
"Koochiching County, MN",2003,7188,6719,469
"Lac qui Parle County, MN",2003,4080,3902,178
"Lake County, MN",2003,6068,5781,287
"Lake of the Woods County, MN",2003,2471,2357,114
"Le Sueur County, MN",2003,14788,13850,938
"Lincoln County, MN",2003,3360,3225,135
"Lyon County, MN",2003,14433,13818,615
"McLeod County, MN",2003,20114,19192,922
"Mahnomen County, MN",2003,2717,2572,145
"Marshall County, MN",2003,5239,4806,433
"Martin County, MN",2003,11780,11228,552
"Meeker County, MN",2003,12635,11909,726
"Mille Lacs County, MN",2003,12163,11266,897
"Morrison County, MN",2003,17588,16491,1097
"Mower County, MN",2003,20376,19449,927
"Murray County, MN",2003,5503,5259,244
"Nicollet County, MN",2003,18811,18091,720
"Nobles County, MN",2003,11278,10844,434
"Norman County, MN",2003,3693,3495,198
"Olmsted County, MN",2003,76609,73293,3316
"Otter Tail County, MN",2003,30016,28371,1645
"Pennington County, MN",2003,7995,7508,487
"Pine County, MN",2003,14718,13701,1017
"Pipestone County, MN",2003,5478,5266,212
"Polk County, MN",2003,16562,15711,851
"Pope County, MN",2003,6204,5950,254
"Ramsey County, MN",2003,279615,266120,13495
"Red Lake County, MN",2003,2189,2016,173
"Redwood County, MN",2003,8614,8223,391
"Renville County, MN",2003,8953,8473,480
"Rice County, MN",2003,33086,31492,1594
"Rock County, MN",2003,5237,5055,182
"Roseau County, MN",2003,10194,9449,745
"St. Louis County, MN",2003,103199,96753,6446
"Scott County, MN",2003,64052,61279,2773
"Sherburne County, MN",2003,43310,41090,2220
"Sibley County, MN",2003,9028,8589,439
"Stearns County, MN",2003,79727,75928,3799
"Steele County, MN",2003,19429,18469,960
"Stevens County, MN",2003,5718,5494,224
"Swift County, MN",2003,5493,5220,273
"Todd County, MN",2003,12840,12192,648
"Traverse County, MN",2003,1903,1816,87
"Wabasha County, MN",2003,12606,12055,551
"Wadena County, MN",2003,6684,6242,442
"Waseca County, MN",2003,10671,10165,506
"Washington County, MN",2003,122962,117815,5147
"Watonwan County, MN",2003,5963,5671,292
"Wilkin County, MN",2003,3769,3621,148
"Winona County, MN",2003,28170,26832,1338
"Wright County, MN",2003,58927,55893,3034
"Yellow Medicine County, MN",2003,5682,5362,320
"Adams County, MS",2003,13622,12469,1153
"Alcorn County, MS",2003,15860,14688,1172
"Amite County, MS",2003,5364,4904,460
"Attala County, MS",2003,8486,7824,662
"Benton County, MS",2003,2955,2640,315
"Bolivar County, MS",2003,15761,14499,1262
"Calhoun County, MS",2003,6564,6078,486
"Carroll County, MS",2003,5043,4741,302
"Chickasaw County, MS",2003,7907,7217,690
"Choctaw County, MS",2003,3619,3226,393
"Claiborne County, MS",2003,3965,3545,420
"Clarke County, MS",2003,7313,6633,680
"Clay County, MS",2003,8954,8083,871
"Coahoma County, MS",2003,11618,10648,970
"Copiah County, MS",2003,12296,11524,772
"Covington County, MS",2003,8675,8197,478
"DeSoto County, MS",2003,65522,63103,2419
"Forrest County, MS",2003,35169,33319,1850
"Franklin County, MS",2003,3141,2871,270
"George County, MS",2003,8507,7648,859
"Greene County, MS",2003,4946,4484,462
"Grenada County, MS",2003,9946,9337,609
"Hancock County, MS",2003,20420,19388,1032
"Harrison County, MS",2003,90776,86329,4447
"Hinds County, MS",2003,121448,114758,6690
"Holmes County, MS",2003,6837,6067,770
"Humphreys County, MS",2003,4593,4204,389
"Issaquena County, MS",2003,844,753,91
"Itawamba County, MS",2003,10396,9741,655
"Jackson County, MS",2003,59685,55958,3727
"Jasper County, MS",2003,7167,6636,531
"Jefferson County, MS",2003,2912,2534,378
"Jefferson Davis County, MS",2003,5333,4925,408
"Jones County, MS",2003,28691,27147,1544
"Kemper County, MS",2003,4288,3901,387
"Lafayette County, MS",2003,20256,19126,1130
"Lamar County, MS",2003,20909,20037,872
"Lauderdale County, MS",2003,33550,31250,2300
"Lawrence County, MS",2003,5396,5037,359
"Leake County, MS",2003,9505,8952,553
"Lee County, MS",2003,37732,35463,2269
"Leflore County, MS",2003,14519,13020,1499
"Lincoln County, MS",2003,14405,13508,897
"Lowndes County, MS",2003,25717,23845,1872
"Madison County, MS",2003,41741,39846,1895
"Marion County, MS",2003,10578,9947,631
"Marshall County, MS",2003,15424,14184,1240
"Monroe County, MS",2003,16865,15511,1354
"Montgomery County, MS",2003,4986,4530,456
"Neshoba County, MS",2003,14628,13857,771
"Newton County, MS",2003,9680,9138,542
"Noxubee County, MS",2003,4517,4089,428
"Oktibbeha County, MS",2003,20046,18905,1141
"Panola County, MS",2003,14663,13357,1306
"Pearl River County, MS",2003,21275,20138,1137
"Perry County, MS",2003,5159,4782,377
"Pike County, MS",2003,15101,14117,984
"Pontotoc County, MS",2003,13032,12294,738
"Prentiss County, MS",2003,12088,11328,760
"Quitman County, MS",2003,4157,3808,349
"Rankin County, MS",2003,68079,65286,2793
"Scott County, MS",2003,13048,12339,709
"Sharkey County, MS",2003,2700,2453,247
"Simpson County, MS",2003,11834,11180,654
"Smith County, MS",2003,7341,6986,355
"Stone County, MS",2003,6845,6464,381
"Sunflower County, MS",2003,11465,10401,1064
"Tallahatchie County, MS",2003,6333,5768,565
"Tate County, MS",2003,11695,10985,710
"Tippah County, MS",2003,9223,8487,736
"Tishomingo County, MS",2003,8224,7460,764
"Tunica County, MS",2003,4461,3975,486
"Union County, MS",2003,11700,10933,767
"Walthall County, MS",2003,5850,5440,410
"Warren County, MS",2003,23279,21863,1416
"Washington County, MS",2003,24557,22356,2201
"Wayne County, MS",2003,8620,7923,697
"Webster County, MS",2003,3468,3073,395
"Wilkinson County, MS",2003,3747,3395,352
"Winston County, MS",2003,7823,7198,625
"Yalobusha County, MS",2003,5622,5149,473
"Yazoo County, MS",2003,10786,9941,845
"Adair County, MO",2003,13484,12819,665
"Andrew County, MO",2003,9563,9084,479
"Atchison County, MO",2003,3419,3283,136
"Audrain County, MO",2003,12068,11329,739
"Barry County, MO",2003,17411,16534,877
"Barton County, MO",2003,6691,6361,330
"Bates County, MO",2003,8084,7584,500
"Benton County, MO",2003,8375,7819,556
"Bollinger County, MO",2003,6309,5934,375
"Boone County, MO",2003,83738,80767,2971
"Buchanan County, MO",2003,44592,42008,2584
"Butler County, MO",2003,20929,19744,1185
"Caldwell County, MO",2003,4431,4173,258
"Callaway County, MO",2003,22815,21761,1054
"Camden County, MO",2003,20620,19451,1169
"Cape Girardeau County, MO",2003,40186,38490,1696
"Carroll County, MO",2003,5160,4878,282
"Carter County, MO",2003,2898,2708,190
"Cass County, MO",2003,47030,44587,2443
"Cedar County, MO",2003,6278,5863,415
"Chariton County, MO",2003,4320,4070,250
"Christian County, MO",2003,34737,33029,1708
"Clark County, MO",2003,3678,3412,266
"Clay County, MO",2003,109412,104284,5128
"Clinton County, MO",2003,10256,9706,550
"Cole County, MO",2003,40557,38959,1598
"Cooper County, MO",2003,8832,8418,414
"Crawford County, MO",2003,11852,11085,767
"Dade County, MO",2003,3929,3741,188
"Dallas County, MO",2003,7402,6960,442
"Daviess County, MO",2003,3958,3739,219
"DeKalb County, MO",2003,5223,4898,325
"Dent County, MO",2003,6604,6184,420
"Douglas County, MO",2003,5933,5498,435
"Dunklin County, MO",2003,15030,13896,1134
"Franklin County, MO",2003,52433,49466,2967
"Gasconade County, MO",2003,7748,7268,480
"Gentry County, MO",2003,3381,3229,152
"Greene County, MO",2003,135887,129803,6084
"Grundy County, MO",2003,5032,4724,308
"Harrison County, MO",2003,4427,4199,228
"Henry County, MO",2003,11123,10316,807
"Hickory County, MO",2003,3458,3176,282
"Holt County, MO",2003,2624,2483,141
"Howard County, MO",2003,5404,5179,225
"Howell County, MO",2003,19663,18593,1070
"Iron County, MO",2003,5022,4643,379
"Jackson County, MO",2003,343792,321297,22495
"Jasper County, MO",2003,55142,52206,2936
"Jefferson County, MO",2003,114629,108503,6126
"Johnson County, MO",2003,25113,23928,1185
"Knox County, MO",2003,2165,2067,98
"Laclede County, MO",2003,16903,15496,1407
"Lafayette County, MO",2003,17011,16115,896
"Lawrence County, MO",2003,18695,17779,916
"Lewis County, MO",2003,5659,5344,315
"Lincoln County, MO",2003,23307,21985,1322
"Linn County, MO",2003,7150,6618,532
"Livingston County, MO",2003,7220,6843,377
"McDonald County, MO",2003,11766,11188,578
"Macon County, MO",2003,8382,7942,440
"Madison County, MO",2003,5856,5484,372
"Maries County, MO",2003,4821,4579,242
"Marion County, MO",2003,14721,13875,846
"Mercer County, MO",2003,1766,1663,103
"Miller County, MO",2003,12934,12160,774
"Mississippi County, MO",2003,6248,5795,453
"Moniteau County, MO",2003,7605,7262,343
"Monroe County, MO",2003,4510,4245,265
"Montgomery County, MO",2003,6443,6048,395
"Morgan County, MO",2003,9499,8907,592
"New Madrid County, MO",2003,8892,8032,860
"Newton County, MO",2003,28056,26380,1676
"Nodaway County, MO",2003,12834,12385,449
"Oregon County, MO",2003,4279,4042,237
"Osage County, MO",2003,7532,7157,375
"Ozark County, MO",2003,4526,4259,267
"Pemiscot County, MO",2003,8199,7396,803
"Perry County, MO",2003,10269,9857,412
"Pettis County, MO",2003,20800,19585,1215
"Phelps County, MO",2003,22304,21316,988
"Pike County, MO",2003,8950,8479,471
"Platte County, MO",2003,46726,44688,2038
"Polk County, MO",2003,13775,13044,731
"Pulaski County, MO",2003,17406,16469,937
"Putnam County, MO",2003,2528,2380,148
"Ralls County, MO",2003,5610,5281,329
"Randolph County, MO",2003,13070,12362,708
"Ray County, MO",2003,11990,11318,672
"Reynolds County, MO",2003,2638,2411,227
"Ripley County, MO",2003,6356,5939,417
"St. Charles County, MO",2003,180237,172350,7887
"St. Clair County, MO",2003,4595,4275,320
"Ste. Genevieve County, MO",2003,9645,9148,497
"St. Francois County, MO",2003,27693,25846,1847
"St. Louis County, MO",2003,552250,523010,29240
"Saline County, MO",2003,12122,11476,646
"Schuyler County, MO",2003,2239,2097,142
"Scotland County, MO",2003,2459,2351,108
"Scott County, MO",2003,20989,19799,1190
"Shannon County, MO",2003,4114,3797,317
"Shelby County, MO",2003,3263,3079,184
"Stoddard County, MO",2003,15598,14649,949
"Stone County, MO",2003,15896,14572,1324
"Sullivan County, MO",2003,3349,3006,343
"Taney County, MO",2003,25201,22986,2215
"Texas County, MO",2003,10911,10130,781
"Vernon County, MO",2003,10505,9992,513
"Warren County, MO",2003,14763,13925,838
"Washington County, MO",2003,10085,9249,836
"Wayne County, MO",2003,5801,5363,438
"Webster County, MO",2003,16146,15352,794
"Worth County, MO",2003,1226,1178,48
"Wright County, MO",2003,8110,7599,511
"St. Louis city, MO",2003,163540,149509,14031
"Beaverhead County, MT",2003,5139,4945,194
"Big Horn County, MT",2003,4923,4354,569
"Blaine County, MT",2003,2747,2617,130
"Broadwater County, MT",2003,2283,2175,108
"Carbon County, MT",2003,5210,5006,204
