,CBSA,MNAME,Mode,Year,TNC_FLAG,YEARS_SINCE_TNC,UBER_NET_REVENUE,UBER_REV_SCALED
164,15380,"Buffalo-Niagara Falls, NY Metro Area",Bus,2014,1,0,445,1.0
165,15380,"Buffalo-Niagara Falls, NY Metro Area",Bus,2015,1,1,1690,3.797752808988764
166,15380,"Buffalo-Niagara Falls, NY Metro Area",Bus,2016,1,2,4964,11.155056179775281
167,15380,"Buffalo-Niagara Falls, NY Metro Area",Bus,2017,1,3,7932,17.824719101123595
168,15380,"Buffalo-Niagara Falls, NY Metro Area",Bus,2018,1,4,11270,25.325842696629213
169,15380,"Buffalo-Niagara Falls, NY Metro Area",Rail,2014,1,0,445,1.0
170,15380,"Buffalo-Niagara Falls, NY Metro Area",Rail,2015,1,1,1690,3.797752808988764
171,15380,"Buffalo-Niagara Falls, NY Metro Area",Rail,2016,1,2,4964,11.155056179775281
172,15380,"Buffalo-Niagara Falls, NY Metro Area",Rail,2017,1,3,7932,17.824719101123595
173,15380,"Buffalo-Niagara Falls, NY Metro Area",Rail,2018,1,4,11270,25.325842696629213
174,15540,"Burlington-South Burlington, VT Metro Area",Bus,2014,1,0,445,1.0
175,15540,"Burlington-South Burlington, VT Metro Area",Bus,2015,1,1,1690,3.797752808988764
176,15540,"Burlington-South Burlington, VT Metro Area",Bus,2016,1,2,4964,11.155056179775281
177,15540,"Burlington-South Burlington, VT Metro Area",Bus,2017,1,3,7932,17.824719101123595
178,15540,"Burlington-South Burlington, VT Metro Area",Bus,2018,1,4,11270,25.325842696629213
179,15940,"Canton-Massillon, OH Metro Area",Bus,2014,1,0,445,1.0
180,15940,"Canton-Massillon, OH Metro Area",Bus,2015,1,1,1690,3.797752808988764
181,15940,"Canton-Massillon, OH Metro Area",Bus,2016,1,2,4964,11.155056179775281
182,15940,"Canton-Massillon, OH Metro Area",Bus,2017,1,3,7932,17.824719101123595
183,15940,"Canton-Massillon, OH Metro Area",Bus,2018,1,4,11270,25.325842696629213
184,15980,"Cape Coral-Fort Myers, FL Metro Area",Bus,2014,1,0,445,1.0
185,15980,"Cape Coral-Fort Myers, FL Metro Area",Bus,2015,1,1,1690,3.797752808988764
186,15980,"Cape Coral-Fort Myers, FL Metro Area",Bus,2016,1,2,4964,11.155056179775281
187,15980,"Cape Coral-Fort Myers, FL Metro Area",Bus,2017,1,3,7932,17.824719101123595
188,15980,"Cape Coral-Fort Myers, FL Metro Area",Bus,2018,1,4,11270,25.325842696629213
189,16300,"Cedar Rapids, IA Metro Area",Bus,2014,1,0,445,1.0
190,16300,"Cedar Rapids, IA Metro Area",Bus,2015,1,1,1690,3.797752808988764
191,16300,"Cedar Rapids, IA Metro Area",Bus,2016,1,2,4964,11.155056179775281
192,16300,"Cedar Rapids, IA Metro Area",Bus,2017,1,3,7932,17.824719101123595
193,16300,"Cedar Rapids, IA Metro Area",Bus,2018,1,4,11270,25.325842696629213
194,16580,"Champaign-Urbana, IL Metro Area",Bus,2015,1,0,1690,1.0
