,Trs_Id,mode_cd,service_cd,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MODE
182,3019,HR,DO,2405.0,255.0,272.0,156.0,157.0,158.0,157,166,41,90,95.0,208.0,112.0,72.0,59.0,83.0,60.0,Rail
183,3019,LR,DO,473.0,341.0,285.0,536.0,58.0,62.0,29,10,31,,,,,,,,,Rail
184,3019,MB,DO,3886.0,3980.0,7430.0,6359.0,7220.0,6469.0,6748,6746,6351,6085,5872.0,5938.0,6814.0,6335.0,5023.0,5382.0,5220.0,Bus
185,3019,TB,DO,202.0,171.0,,,,,66,249,166,176,165.0,154.0,163.0,154.0,153.0,164.0,205.0,Bus
186,3022,IP,DO,0.0,3.0,12.0,6.0,13.0,15.0,22,18,21,24,15.0,14.0,16.0,27.0,44.0,26.0,4.0,Rail
187,3022,LR,DO,122.0,121.0,338.0,140.0,91.0,90.0,190,179,123,184,179.0,148.0,156.0,160.0,199.0,194.0,214.0,Rail
188,3022,MB,DO,10876.0,11845.0,4590.0,6940.0,4374.0,3864.0,3503,4299,4026,4223,3438.0,2827.0,2795.0,2772.0,2300.0,1689.0,1618.0,Bus
189,3024,DR,DO,69.0,70.0,22.0,57.0,53.0,20.0,37,49,71,53,28.0,47.0,25.0,14.0,36.0,,,DemandResponse
190,3024,MB,DO,234.0,231.0,224.0,328.0,267.0,216.0,236,213,149,195,172.0,217.0,280.0,247.0,224.0,,,Bus
191,3025,MB,DO,37.0,32.0,27.0,35.0,39.0,63.0,68,82,127,148,150.0,44.0,24.0,31.0,21.0,20.0,20.0,Bus
192,3026,MB,DO,119.0,115.0,190.0,144.0,115.0,175.0,147,137,155,171,159.0,93.0,106.0,103.0,119.0,142.0,100.0,Bus
193,3027,DR,DO,21.0,25.0,36.0,10.0,6.0,33.0,29,32,50,99,43.0,38.0,33.0,22.0,18.0,24.0,14.0,DemandResponse
194,3027,MB,DO,69.0,48.0,19.0,17.0,12.0,26.0,40,44,65,127,116.0,102.0,92.0,35.0,29.0,15.0,8.0,Bus
195,3030,HR,DO,5500.0,721.0,536.0,661.0,726.0,706.0,1076,1334,1552,1525,1483.0,1223.0,1406.0,1644.0,1512.0,944.0,652.0,Rail
196,3030,MB,DO,4944.0,5655.0,6257.0,6558.0,6613.0,5917.0,5656,6472,5776,4907,5204.0,4718.0,4947.0,5420.0,4930.0,4574.0,5272.0,Bus
197,3034,DR,DO,17.0,6.0,33.0,12.0,4.0,27.0,34,23,9,7,5.0,29.0,10.0,,,0.0,22.0,DemandResponse
