NTD_ID,MODE,SERVICE_ID,2002
5016,MB,DO,"13,063,762.00"
5017,DR,DO,"635,066.00"
5017,MB,DO,"4,728,249.00"
5017,TB,DO,"1,002,775.00"
5019,DR,DO,"10,816.00"
5019,MB,DO,"73,811.00"
5020,DR,DO,"39,836.00"
5020,MB,DO,"161,249.00"
5021,DR,DO,"46,499.00"
5021,MB,DO,"45,152.00"
5022,DR,PT,"119,004.00"
5022,MB,DO,"4,585,151.00"
5024,DR,DO,"8,719.00"
5024,MB,DO,"695,045.00"
5024,MB,PT,
5025,DR,PT,0
5025,MB,DO,"1,417,702.00"
5026,DR,PT,"18,391.00"
5026,MB,PT,"113,486.00"
5027,MB,DO,"62,250,719.00"
5028,DR,DO,"164,354.00"
5028,MB,DO,"613,195.00"
5029,DR,DO,"472,193.00"
5029,MB,DO,"101,932.00"
5030,DR,DO,"32,715.00"
5030,MB,DO,"273,036.00"
5031,DR,DO,"919,279.00"
5031,DR,PT,"463,747.00"
5031,MB,DO,"7,848,825.00"
5031,MB,PT,"50,664.00"
5032,DR,DO,"435,369.00"
5032,MB,DO,"3,943,293.00"
5033,DR,PT,"496,422.00"
5033,MB,DO,"2,810,207.00"
5034,DR,DO,"187,622.00"
5034,MB,DO,"224,445.00"
5035,DR,DO,583
5035,DR,PT,"36,757.00"
5035,MB,DO,"863,595.00"
5036,DR,DO,"2,478,284.00"
5036,DR,PT,"281,647.00"
5036,MB,DO,"370,381.00"
5037,DR,DO,"19,674.00"
5037,MB,DO,"189,226.00"
5038,DR,PT,"73,157.00"
5039,DR,DO,"402,042.00"
5039,MB,DO,"87,179.00"
5040,DR,DO,"20,414.00"
5040,DR,PT,"342,936.00"
5040,MB,DO,"2,382,728.00"
5041,DR,DO,"35,453.00"
5041,MB,DO,"77,874.00"
5042,DR,DO,0
5042,MB,DO,0
5043,DR,DO,"727,087.00"
5043,MB,DO,"174,643.00"
5044,DR,DO,"83,868.00"
5044,MB,DO,"742,455.00"
5045,MB,DO,"932,143.00"
5047,DR,DO,"11,397.00"
5047,MB,DO,"335,023.00"
5048,DR,DO,"101,541.00"
5050,DR,DO,"416,726.00"
5050,DR,PT,"166,482.00"
5050,MB,DO,"5,901,925.00"
5050,MB,PT,"531,173.00"
5051,DR,DO,"40,551.00"
5051,MB,DO,"1,344,591.00"
5052,DR,DO,"44,288.00"
5052,MB,DO,"1,096,187.00"
5053,DR,DO,"14,521.00"
5053,MB,DO,"86,128.00"
5054,DR,DO,"56,535.00"
5054,MB,DO,"257,988.00"
5056,DR,PT,"178,757.00"
5056,MB,DO,"1,062,150.00"
5057,DR,DO,"7,760.00"
5057,DR,PT,"24,272.00"
5057,MB,DO,"984,584.00"
5057,MB,PT,"10,430.00"
5057,VP,DO,"28,945.00"
5058,DR,DO,"140,330.00"
5058,DR,PT,0
5058,MB,DO,"827,170.00"
5059,DR,DO,"86,254.00"
5059,MB,DO,"633,791.00"
5060,DR,DO,"18,379.00"
5060,DR,PT,"174,256.00"
5060,MB,DO,"3,505,198.00"
5061,DR,DO,"7,641.00"
5061,DR,PT,"42,080.00"
5061,MB,DO,"262,603.00"
5066,DR,PT,"1,700,195.00"
5066,HR,DO,"158,873,498.00"
5066,MB,DO,"224,236,294.00"
5088,DR,PT,"84,832.00"
5088,MB,DO,"484,998.00"
5090,DR,PT,"89,261.00"
5090,MB,PT,"191,588.00"
5091,DR,PT,"37,580.00"
5091,MB,DO,"320,378.00"
5092,DR,PT,"120,389.00"
5092,MB,PT,"1,082,646.00"
5094,DR,PT,"34,715.00"
5094,MB,PT,"836,819.00"
5095,DR,PT,"74,247.00"
5095,MB,PT,"336,475.00"
5096,DR,DO,"41,033.00"
5096,MB,DO,"495,633.00"
5097,MB,DO,"37,367.00"
5099,DR,PT,"99,855.00"
5099,MB,DO,"469,830.00"
5102,DR,PT,"15,935.00"
5102,MB,PT,"309,275.00"
5104,CR,DO,"13,591,808.00"
5108,DR,PT,"2,782.00"
5108,MB,DO,"319,462.00"
5109,DR,PT,"1,402.00"
5109,MB,DO,"144,336.00"
5110,DR,PT,"44,725.00"
5110,MB,DO,"835,109.00"
5113,DR,DO,"5,368,929.00"
5113,DR,PT,"2,473,181.00"
5113,MB,DO,"27,862,259.00"
5113,MB,PT,"4,668,783.00"
5113,VP,DO,"2,229,789.00"
5117,DR,DO,"323,910.00"
5117,DR,PT,"6,028.00"
5117,MB,DO,"395,512.00"
5118,CR,DO,"190,337,817.00"
5119,DR,PT,"289,428.00"
5119,LR,DO,"15,810.00"
5119,MB,DO,"23,122,388.00"
5131,DR,DO,"415,012.00"
5131,DR,PT,
5132,DR,DO,"110,783.00"
5132,MB,DO,"10,778.00"
5133,DR,PT,"101,505.00"
5138,DR,PT,"367,933.00"
5141,AG,DO,"766,995.00"
5143,MB,PT,"7,361.00"
5145,DR,DO,"15,326.00"
5145,DR,PT,"117,272.00"
5146,DR,PT,"183,505.00"
5146,MB,PT,"960,728.00"
5146,VP,PT,"217,221.00"
5147,DR,PT,"112,550.00"
5147,MB,PT,"47,259.00"
5148,DR,DO,"110,616.00"
5148,DR,PT,"1,298,384.00"
5148,MB,DO,"86,913.00"
5149,DR,PT,"456,079.00"
5149,MB,PT,"60,256.00"
5154,DR,PT,"1,069,851.00"
5154,MB,PT,"6,555,703.00"
5155,DR,PT,"2,564,991.00"
5157,DR,DO,"1,156,850.00"
5157,MB,DO,"18,425.00"
5157,MB,PT,"352,734.00"
5158,MB,DO,"946,206.00"
5158,MB,PT,0
5160,DR,PT,"133,256.00"
5160,MB,PT,"77,330.00"
5161,DR,PT,"139,955.00"
5161,MB,PT,"172,399.00"
5165,DR,PT,"15,972.00"
5166,DR,DO,"347,720.00"
5166,DR,PT,0
5168,DR,DO,"182,236.00"
5169,DR,DO,"42,190.00"
6001,DR,DO,"129,905.00"
6001,MB,DO,"39,801.00"
6006,DR,DO,"246,164.00"
6006,DR,PT,"27,435.00"
6006,MB,DO,"6,691,408.00"
6007,CR,PT,"607,095.00"
6007,DR,DO,"525,392.00"
6007,DR,PT,"101,173.00"
6007,MB,DO,"2,710,537.00"
6007,MB,PT,137
6007,VP,PT,"625,461.00"
6008,DR,PT,"1,264,668.00"
6008,MB,DO,"42,966,659.00"
6008,MB,PT,"6,872,866.00"
6008,VP,PT,"1,116,261.00"
6009,DR,DO,"29,593.00"
6009,MB,DO,"2,086,386.00"
6009,MB,PT,
6010,DR,DO,"167,487.00"
6010,MB,DO,"1,867,970.00"
6011,DR,DO,"587,570.00"
6011,DR,PT,"600,733.00"
6011,MB,DO,"14,240,639.00"
6012,DR,DO,"40,804.00"
6012,MB,DO,"392,689.00"
6013,DR,DO,"34,002.00"
6013,MB,DO,"156,290.00"
6014,DR,DO,"52,755.00"
6014,MB,DO,"965,699.00"
6015,DR,DO,"10,762.00"
6015,LR,DO,"36,962.00"
6015,MB,DO,"220,618.00"
6016,DR,DO,"35,571.00"
6016,MB,DO,"482,418.00"
6017,DR,DO,"311,544.00"
6017,DR,PT,"309,977.00"
6017,MB,DO,"1,765,418.00"
6017,MB,PT,"965,831.00"
6018,DR,PT,"905,113.00"
6018,MB,DO,"1,737,176.00"
6018,MB,PT,"17,565.00"
6019,DR,DO,"368,490.00"
6019,MB,DO,"2,485,844.00"
6020,FB,DO,0
6022,DR,PT,"50,631.00"
6022,MB,DO,"3,476,003.00"
6022,MB,PT,"163,263.00"
6024,DR,PT,"56,527.00"
6024,MB,DO,"1,981,168.00"
6025,DR,DO,"1,691.00"
6025,MB,DO,"222,738.00"
6026,DR,DO,"3,759.00"
6026,MB,DO,"384,898.00"
6032,DR,DO,"141,900.00"
6032,DR,PT,"69,174.00"
6032,LR,DO,"4,658,089.00"
6032,MB,DO,"30,924,793.00"
6033,DR,DO,"116,706.00"
6033,MB,DO,"1,429,567.00"
6037,DR,DO,"74,728.00"
6037,MB,DO,"35,166.00"
