5 digit NTD ID,4 digit NTD ID,Agency,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population
20177,2177,"Adirondack Transit Lines, Inc,",Hurley,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295","10,702","9,428,015"
20178,2178,Ulster County Area Transit,Kingston,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327,"423,566","1,124","181,670"
20179,2179,"Hendrick Hudson Bus Lines, Inc.",Newburgh,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327,"423,566",132,"249,175"
20180,2180,Atlantic Express,Staten Island,NY,1,"New York-Newark, NY-NJ-CT","3,353","17,799,861",840,"459,737"
20182,2182,Town of Highlands Dial-A-Bus,Highland Falls,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327,"423,566",36,"7,000"
20183,2183,Town of Monroe Dial-A-Bus,Monroe,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327,"423,566",24,"39,912"
20185,2185,"Centro of Oneida, Inc.",Syracuse,NY,268,"Utica, NY",62,"117,328",73,"154,159"
20187,2187,Village of Kiryas Joel,Monroe,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327,"423,566",1,"22,246"
20188,2188,MTA Bus Company,New York,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",244,"7,706,403"
20189,2189,"BillyBey Ferry Company, LLC",New York,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",70,"2,131,266"
20190,2190,Port Imperial Ferry Corporation dba NY Waterway,Weehawken,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",776,"3,658,455"
20192,2192,Bergen County Community Transportation,Lodi,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",247,"905,116"
20193,2193,Cumberland Area Transit System,Bridgeton,NJ,310,"Vineland, NJ",62,"95,259",484,"156,898"
20195,2195,Gloucester County Division of Transportation Services,West Deptford,NJ,5,"Philadelphia, PA-NJ-DE-MD","1,981","5,441,567",329,"290,265"
20196,2196,Middlesex County Area Transit,New Brunswick,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",310,"805,001"
20197,2197,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink",Wood Ridge,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295","1,167","4,103,469"
20198,2198,"TransOptions, Inc.",Cedar Knolls,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",112,"53,945"
20199,2199,County of Atlantic,Northfield,NJ,150,"Atlantic City, NJ",125,"248,402",567,"274,219"
20200,2200,South Jersey Transportation Authority,Camden,NJ,150,"Atlantic City, NJ",125,"248,402","1,898","1,525,228"
20201,2201,County of Cumberland,Bridgeton,NJ,5,"Philadelphia, PA-NJ-DE-MD","1,981","5,441,567",678,"156,898"
20202,2202,Essex County Division of Training and Employment,East Orange,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",126,"797,434"
20203,2203,Cape May County Fare Free Transportation,Cape May Court House,NJ,489,"Villas, NJ",34,"51,291",251,"94,727"
20204,2204,"Senior Citizens United Community Services of Camden County, Inc.",Audubon,NJ,5,"Philadelphia, PA-NJ-DE-MD","1,981","5,441,567",222,"508,932"
20206,2206,Nassau Inter County Express,Garden City,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",285,"1,339,532"
20209,2209,Somerset County Transportation,Somerville,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",305,"324,194"
20212,2212,County of Hunterdon,Flemington,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",438,"126,250"
20217,2217,"Hampton Jitney, Inc.",Southampton,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295","1,215","9,908,805"
22930,,New York City Economic Development Corporation,New York,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",6,"154,841"
30001,3001,Kanawha Valley Regional Transportation Authority,Charleston,WV,214,"Charleston, WV",98,"153,199",902,"191,275"
30002,3002,The Tri-State Transit Authority,Huntington,WV,178,"Huntington, WV-KY-OH",130,"202,637",92,"144,339"
30003,3003,Mid-Ohio Valley Transit Authority,Parkersburg,WV,411,"Parkersburg, WV-OH",42,"67,229",14,"39,587"
30006,3006,Greater Richmond Transit Company,Richmond,VA,45,"Richmond, VA",492,"953,556",227,"449,572"
30007,3007,Greater Roanoke Transit Company,Roanoke,VA,172,"Roanoke, VA",124,"210,111",43,"97,032"
30008,3008,Greater Lynchburg Transit Company,Lynchburg,VA,271,"Lynchburg, VA",89,"116,636",72,"80,846"
30009,3009,Petersburg Area Transit,Petersburg,VA,45,"Richmond, VA",492,"953,556",7,"72,422"
30010,3010,Lehigh and Northampton Transportation Authority,Allentown,PA,61,"Allentown, PA-NJ",346,"664,651",230,"485,712"
30011,3011,Altoona Metro Transit,Altoona,PA,359,"Altoona, PA",37,"79,930",25,"69,608"
30012,3012,Cambria County Transit Authority,Johnstown,PA,400,"Johnstown, PA",39,"69,014",60,"80,508"
30013,3013,Erie Metropolitan Transit Authority,Erie,PA,183,"Erie, PA",82,"196,611",77,"189,872"
30014,3014,Cumberland Dauphin-Harrisburg Transit Authority,Harrisburg,PA,86,"Harrisburg, PA",260,"444,474",137,"511,009"
30015,3015,Luzerne County Transportation Authority,Kingston,PA,99,"Scranton, PA",171,"381,502",56,"295,020"
30018,3018,Red Rose Transit Authority,Lancaster,PA,91,"Lancaster, PA",248,"402,004",952,"420,920"
30019,3019,Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD","1,981","5,441,567",839,"3,829,571"
30022,3022,Port Authority of Allegheny County,Pittsburgh,PA,27,"Pittsburgh, PA",905,"1,733,853",775,"1,415,244"
30023,3023,Beaver County Transit Authority,Rochester,PA,27,"Pittsburgh, PA",905,"1,733,853",440,"170,539"
30024,3024,Berks Area Regional Transportation Authority,Reading,PA,140,"Reading, PA",104,"266,254",864,"411,442"
30025,3025,County of Lackawanna Transit System,Scranton,PA,99,"Scranton, PA",171,"381,502",170,"260,348"
30026,3026,Williamsport Bureau of Transportation,Williamsport,PA,462,"Williamsport, PA",27,"56,142",92,"69,764"
30027,3027,York County Transportation Authority,York,PA,158,"York, PA",132,"232,045",911,"381,751"
30030,3030,Washington Metropolitan Area Transit Authority,Washington,DC,8,"Washington, DC-VA-MD","1,322","4,586,770",950,"3,719,567"
30034,3034,Maryland Transit Administration,Baltimore,MD,19,"Baltimore, MD",717,"2,203,663","2,560","7,811,145"
30035,3035,Ohio Valley Regional Transportation Authority,Wheeling,WV,353,"Wheeling, WV-OH",47,"81,249",27,"57,416"
30036,3036,Charlottesville Area Transit,Charlottesville,VA,317,"Charlottesville, VA",35,"92,359",38,"85,755"
30040,3040,Annapolis Department of Transportation,Annapolis,MD,19,"Baltimore, MD",717,"2,203,663",24,"130,600"
30041,3041,Allegany County Transit,Cumberland,MD,484,"Cumberland, MD-WV-PA",33,"51,899",131,"68,780"
30042,3042,Washington County Transit,Hagerstown,MD,189,"Hagerstown, MD-WV-PA",133,"182,696",70,"48,220"
30044,3044,Westmoreland County Transit Authority,Greensburg,PA,27,"Pittsburgh, PA",905,"1,733,853",668,"296,066"
