UZA Name,RailBus,NTD_ID,UZA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Bremerton, WA",DemandResponse,60,540,525221.0,848052.0,906355.0,969749.0,1196150.0,1266119.0,1224669.0,1035927.0,887455.0,942215.0,969497.0,793239.0,772480.0
"Bremerton, WA",Other,40,360,195603.0,231064.0,238098.0,300442.0,548627.0,751773.0,939122.0,827536.0,779834.0,761800.0,834621.0,495647.0,999755.0
"Bridgeport-Stamford, CT-NY",Bus,50327,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13135954.0,12768670.0,12026769.0,11205255.0
"Bridgeport-Stamford, CT-NY",DemandResponse,50313,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948247.0,882125.0,891686.0,849108.0
"Brownsville, TX",Bus,120028,328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1103626.0,1017075.0,1117221.0,1267775.0
"Brownsville, TX",DemandResponse,60014,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29980.0,35047.0,33181.0,37122.0
"Buffalo, NY",Bus,20004,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30870144.0,31564813.0,31548267.0,30633416.0
"Buffalo, NY",DemandResponse,20004,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502971.0,559606.0,561635.0,606648.0
"Buffalo, NY",Rail,20004,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5340880.0,5273176.0,5395671.0,5625487.0
"Burlington, VT",Bus,20132,570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2342176.0,2556350.0,2428368.0,2218442.0
"Burlington, VT",DemandResponse,10066,285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121545.0,123335.0,111470.0,99511.0
