UZA Name,RailBus,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,NTD_ID,UZA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Baltimore, MD",Bus,717,"2,203,663","2,560","7,811,145",69170,95.0,68172570.0,69503620.0,72597527.0,72266272.0,70682933.0,73697414.0,72687574.0,75083089.0,73651180.0,72302647.0,70550463.0,77574308.0,72325677.0
"Baltimore, MD",Bus,717,"2,203,663",24,"130,600",33080,38.0,721621.0,731882.0,787043.0,796290.0,770622.0,863763.0,646657.0,746829.0,754785.0,778860.0,800744.0,814667.0,716655.0
"Baltimore, MD",Bus,717,"2,203,663",251,"284,952",33096,38.0,359934.0,416055.0,419794.0,538440.0,446618.0,356972.0,620117.0,807441.0,886435.0,853192.0,810758.0,700096.0,666557.0
"Baltimore, MD",Bus,717,"2,203,663",398,"564,000",30129,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322828.0,211786.0
"Baltimore, MD",DemandResponse,717,"2,203,663","2,560","7,811,145",99204,114.0,991466.0,1396987.0,1432482.0,1626351.0,1616987.0,1306155.0,2088279.0,2548130.0,2843138.0,1784902.0,1835062.0,3583403.0,4235123.0
"Baltimore, MD",DemandResponse,717,"2,203,663",24,"130,600",33080,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56213.0,5493.0,7104.0,10141.0,10484.0,8921.0
"Baltimore, MD",DemandResponse,717,"2,203,663",251,"284,952",63144,57.0,69070.0,64542.0,56237.0,51395.0,65328.0,42276.0,183262.0,218459.0,180296.0,176857.0,188141.0,236698.0,234833.0
"Baltimore, MD",DemandResponse,717,"2,203,663",398,"564,000",30129,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Baltimore, MD",Rail,717,"2,203,663","2,560","7,811,145",99204,114.0,46189234.0,46893270.0,49904006.0,51787154.0,53458449.0,58124332.0,63416938.0,60274301.0,63181130.0,62617076.0,63627505.0,72208820.0,71967223.0
"Bangor, ME",Bus,43,"61,210",29,"55,500",11192,882.0,429241.0,484810.0,536652.0,658533.0,700717.0,697571.0,798286.0,867126.0,852377.0,691025.0,742960.0,721971.0,671167.0
"Bangor, ME",DemandResponse,43,"61,210",29,"55,500",2192,882.0,541.0,3596.0,12473.0,17549.0,22951.0,15984.0,22975.0,28141.0,0.0,0.0,0.0,0.0,0.0
"Barnstable Town, MA",Bus,277,"246,695",394,"221,049",22420,608.0,1565954.0,1579697.0,2223880.0,281458.0,224485.0,682851.0,836154.0,1307095.0,1375254.0,1368939.0,1283741.0,1414647.0,1034017.0
"Barnstable Town, MA",DemandResponse,277,"246,695",394,"221,049",22420,608.0,1475200.0,1561763.0,1313469.0,769154.0,602711.0,2969174.0,567310.0,6526981.0,7246355.0,7992107.0,9247228.0,11161058.0,11583397.0
"Baton Rouge, LA",Bus,367,"594,309",211,"367,124",66044,136.0,3562007.0,4468804.0,4459170.0,4838843.0,3161052.0,2063349.0,1960152.0,1781193.0,1832474.0,1757495.0,1847943.0,1782187.0,1842507.0
"Baton Rouge, LA",DemandResponse,367,"594,309",211,"367,124",66044,136.0,58671.0,144118.0,66321.0,51849.0,65841.0,80926.0,117206.0,108980.0,127744.0,169189.0,100462.0,117578.0,101583.0
"Battle Creek, MI",Bus,53,"78,393",73,"87,735",55060,726.0,294929.0,295541.0,261050.0,290740.0,329832.0,315831.0,318463.0,345258.0,337071.0,345674.0,346259.0,331702.0,309144.0
"Battle Creek, MI",DemandResponse,53,"78,393",73,"87,735",55060,726.0,37948.0,38027.0,33589.0,37409.0,42439.0,40637.0,40976.0,44424.0,43370.0,44477.0,44553.0,42680.0,39777.0
"Bay City, MI",Bus,40,"70,585",442,"106,832",55058,780.0,568708.0,612597.0,612639.0,633094.0,638009.0,700249.0,647483.0,721946.0,765736.0,671508.0,616081.0,755664.0,638933.0
"Bay City, MI",DemandResponse,40,"70,585",442,"106,832",55058,780.0,55335.0,57796.0,56827.0,64308.0,70497.0,75939.0,77371.0,79314.0,78370.0,80721.0,78716.0,76204.0,77025.0
"Beaumont, TX",Bus,92,"147,922",41,"82,731",72048,666.0,519148.0,489985.0,517441.0,512088.0,497682.0,487606.0,455892.0,452412.0,470042.0,464498.0,489328.0,422140.0,398376.0
"Beaumont, TX",DemandResponse,92,"147,922",41,"82,731",72048,666.0,63518.0,61980.0,76480.0,73310.0,70327.0,63668.0,60735.0,62685.0,53260.0,51813.0,50798.0,49838.0,47150.0
"Bellingham, WA",Bus,48,"114,473",776,"212,357",21,275.0,904048.0,1013928.0,1089636.0,1273068.0,1384476.0,1519401.0,1663823.0,1858288.0,1859314.0,1825001.0,1669332.0,2427484.0,2564870.0
"Bellingham, WA",DemandResponse,48,"114,473",776,"212,357",84,1100.0,105385.0,132890.0,142460.0,145018.0,345796.0,404404.0,307618.0,250928.0,293540.0,351086.0,313728.0,279248.0,269005.0
"Beloit, WI-IL",Bus,34,"63,835",16,"35,871",55218,864.0,151053.0,178614.0,207330.0,212088.0,198110.0,260801.0,184808.0,204981.0,204153.0,193684.0,176760.0,153860.0,136295.0
"Beloit, WI-IL",DemandResponse,34,"63,835",16,"35,871",55218,864.0,5098.0,6310.0,5426.0,5698.0,5750.0,8079.0,10064.0,14580.0,13369.0,15507.0,13982.0,12423.0,18351.0
"Bend, OR",Bus,40,"83,794",32,"82,280",50,344.0,0.0,0.0,99937.0,131679.0,151217.0,163009.0,210335.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bend, OR",Bus,40,"83,794",75,"127,940",171,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330540.0,375492.0,446537.0,483618.0,607493.0,603662.0
"Bend, OR",DemandResponse,40,"83,794",32,"82,280",50,344.0,0.0,0.0,57843.0,64221.0,54425.0,82725.0,72117.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bend, OR",DemandResponse,40,"83,794",75,"127,940",114,688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199155.0,141501.0,137895.0,164559.0,157379.0,135577.0
"Benton Harbor-St. Joseph-Fair Plain, MI",Bus,47,"61,022",14,"27,000",55264,886.0,6713.0,6826.0,7550.0,11619.0,16349.0,9439.0,23244.0,26347.0,30554.0,59198.0,63522.0,60171.0,55827.0
"Benton Harbor-St. Joseph-Fair Plain, MI",DemandResponse,47,"61,022",14,"27,000",55264,886.0,214855.0,284308.0,272861.0,288864.0,244052.0,339540.0,280658.0,264070.0,293632.0,239163.0,241635.0,208471.0,194229.0
"Billings, MT",Bus,53,"114,773",34,"109,869",88008,546.0,184610.0,207868.0,216927.0,225915.0,287234.0,322726.0,321660.0,345417.0,322383.0,325842.0,306906.0,292958.0,360464.0
"Billings, MT",DemandResponse,53,"114,773",34,"109,869",88008,546.0,281987.0,288863.0,264301.0,263120.0,248264.0,265288.0,238618.0,193176.0,197768.0,173341.0,160051.0,170866.0,205459.0
"Binghamton, NY-PA",Bus,74,"158,084",65,"52,337",22316,420.0,34626.0,50929.0,52111.0,62702.0,54890.0,94788.0,103382.0,121730.0,117967.0,127507.0,0.0,0.0,0.0
"Binghamton, NY-PA",Bus,74,"158,084",712,"200,600",22006,420.0,1990449.0,2019231.0,2270619.0,2341481.0,2822378.0,2601756.0,2734481.0,2501222.0,2463068.0,2511346.0,1543406.0,2383675.0,2551381.0
"Binghamton, NY-PA",DemandResponse,74,"158,084",65,"52,337",22316,420.0,94931.0,96094.0,96777.0,116447.0,101939.0,48360.0,34461.0,21680.0,20817.0,12924.0,0.0,0.0,0.0
"Binghamton, NY-PA",DemandResponse,74,"158,084",712,"200,600",44012,840.0,278715.0,288893.0,284905.0,301933.0,355702.0,359216.0,341343.0,352074.0,440158.0,358864.0,200905.0,215018.0,195937.0
"Birmingham, AL",Bus,530,"749,495",152,"442,804",44084,110.0,2059845.0,2300507.0,2245640.0,2499582.0,2201289.0,1948282.0,2010122.0,2212502.0,2797212.0,2345625.0,2150759.0,2070265.0,1891873.0
"Birmingham, AL",DemandResponse,530,"749,495",152,"442,804",48126,165.0,150136.0,152667.0,136883.0,208862.0,190670.0,167110.0,142840.0,161464.0,155564.0,159759.0,171635.0,191774.0,190880.0
"Birmingham, AL",DemandResponse,530,"749,495",392,"663,615",44338,110.0,0.0,0.0,0.0,177900.0,165700.0,100698.0,159731.0,149801.0,347780.0,492029.0,314074.0,343419.0,317015.0
"Bismarck, ND",Bus,39,"81,955",137,"94,719",88038,698.0,40640.0,47479.0,53001.0,89615.0,69530.0,65986.0,70205.0,80849.0,80305.0,63352.0,70346.0,75321.0,66516.0
"Bismarck, ND",DemandResponse,39,"81,955",137,"94,719",168057,1047.0,373242.0,402516.0,333526.0,358458.0,403464.0,409427.0,393706.0,379869.0,371660.0,377992.0,412473.0,422903.0,443872.0
"Blacksburg, VA",Bus,51,"88,542",34,"67,126",33182,656.0,1763732.0,1898816.0,2075863.0,2245491.0,2259613.0,2279545.0,2510185.0,2884329.0,3167733.0,3433680.0,3304739.0,3265108.0,1928462.0
"Blacksburg, VA",DemandResponse,51,"88,542",34,"67,126",33182,656.0,8862.0,11462.0,10003.0,12551.0,11055.0,12636.0,18889.0,17796.0,24204.0,26060.0,34792.0,27272.0,11089.0
"Bloomington, IN",Bus,45,"108,657",21,"80,405",55220,572.0,990883.0,1096676.0,1237344.0,1514682.0,1535865.0,1559494.0,1601564.0,1525951.0,1545187.0,1557842.0,1582589.0,1609834.0,1598610.0
"Bloomington, IN",DemandResponse,45,"108,657",21,"80,405",60330,858.0,52689.0,56485.0,53029.0,62892.0,54781.0,48444.0,48413.0,49447.0,53284.0,53050.0,62086.0,63902.0,70020.0
